file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
src/api_v2.py,_normalize_image_to_jpg,function,218,224,7,1,0,1,False
src/api_v2.py,_rmtree_robust,function,227,269,43,10,4,2,False
src/api_v2.py,_make_writable,function,235,239,5,2,1,1,False
src/api_v2.py,_onerror,function,241,246,6,2,1,3,False
src/api_v2.py,_onexc,function,248,253,6,2,1,3,False
src/api_v2.py,_ontology_apply,function,276,311,36,10,1,3,False
src/api_v2.py,_derive_color_variant_and_review,function,314,330,17,11,1,3,False
src/api_v2.py,health,function,447,448,2,1,0,0,False
src/api_v2.py,_row_to_item,function,451,479,29,9,1,2,False
src/api_v2.py,list_items,function,483,522,40,6,2,2,False
src/api_v2.py,review_queue,function,526,588,63,11,3,4,False
src/api_v2.py,get_item,function,592,612,21,4,2,2,False
src/api_v2.py,create_item,function,616,767,152,17,3,2,False
src/api_v2.py,validate_item,function,771,851,81,9,1,2,False
src/api_v2.py,update_item,function,855,1057,203,43,6,3,False
src/api_v2.py,delete_item,function,1061,1154,94,26,3,2,False
src/category_map.py,_fold_de,function,184,195,12,2,0,1,False
src/category_map.py,_words_blob,function,198,201,4,2,0,1,False
src/category_map.py,normalize_filter_key,function,204,222,19,7,2,1,False
src/category_map.py,category_group_for_internal,function,225,228,4,2,1,1,False
src/category_map.py,infer_internal_category,function,231,344,114,65,1,2,False
src/category_map.py,display_category_label,function,347,355,9,4,1,2,False
src/category_map.py,admin_option_groups,function,358,364,7,3,1,0,False
src/check_db.py,check_inventory,function,8,54,47,7,2,0,False
src/database_manager.py,reset_database,function,7,45,39,3,2,0,False
